user_id,movie_id,rating
201,558,2
94,1220,3
716,13,2
892,63,4
95,491,4
314,941,3
236,526,3
378,86,4
886,47,4
275,450,3
551,157,4
181,16,1
214,275,3
776,588,4
130,678,4
629,876,3
458,9,5
338,170,5
332,54,4
927,1,5
846,941,2
416,1132,2
354,1101,3
223,225,3
880,1496,4
554,1028,3
457,456,2
506,410,2
381,133,5
655,958,3
291,1178,4
14,820,3
90,863,4
194,997,3
664,427,4
268,527,4
585,1323,3
729,310,3
768,100,5
43,418,4
118,164,5
308,143,4
429,467,4
870,194,3
537,654,3
916,944,2
461,158,2
442,769,1
537,988,1
618,762,3
215,210,4
536,423,4
703,1197,3
618,202,2
13,630,2
24,237,4
144,135,5
194,737,4
307,82,4
897,498,5
497,163,2
365,894,1
919,31,3
911,142,4
867,188,4
540,50,5
332,451,5
851,109,4
413,302,2
187,137,5
316,168,3
553,559,3
250,111,4
138,484,4
274,118,4
118,558,5
566,153,2
460,258,3
138,187,5
493,462,2
693,197,3
470,952,3
209,766,4
339,649,5
435,234,4
313,152,3
406,472,3
417,747,3
932,176,5
815,712,3
308,32,5
551,509,4
286,655,3
722,147,3
619,293,3
802,200,4
354,45,5
786,289,4
711,181,4
160,1016,4
406,164,5
738,81,4
234,8,5
938,717,2
276,357,5
472,562,5
208,367,2
916,451,3
374,147,3
478,469,3
346,1110,1
413,273,2
350,480,5
128,483,5
459,259,4
83,1028,4
882,380,5
641,511,5
642,28,5
210,255,4
751,82,4
774,101,2
16,546,4
932,611,5
871,1385,3
57,409,4
343,20,5
864,708,3
393,715,1
727,1437,2
59,566,4
843,1411,3
791,302,4
321,357,4
385,79,3
883,511,4
361,166,4
618,313,4
279,998,5
720,749,3
655,1111,3
807,384,4
311,566,4
537,649,3
454,968,2
324,294,5
650,630,5
94,586,1
94,693,4
618,1071,1
330,51,5
291,794,4
363,288,4
158,731,2
694,517,4
251,288,4
210,79,4
346,12,5
864,742,4
58,194,3
435,926,3
472,176,5
390,124,4
387,11,3
823,1067,4
358,638,3
90,1201,5
648,483,5
943,485,5
451,358,1
312,382,4
393,88,3
749,111,3
807,79,5
328,657,4
405,953,3
621,432,4
312,408,4
451,323,4
15,258,3
193,195,1
5,153,5
847,151,4
474,127,5
87,49,5
223,120,2
472,946,2
943,475,5
845,302,3
551,672,1
749,655,5
342,772,1
655,1084,3
795,1095,3
606,208,3
457,949,3
449,244,4
464,333,4
375,770,3
916,737,3
385,2,3
397,641,5
11,268,5
110,451,4
246,1232,1
450,618,4
135,173,4
481,173,4
790,774,4
524,131,5
514,177,3
159,930,4
669,749,3
295,727,5
714,257,3
790,403,4
379,636,3
734,478,4
450,603,5
682,572,4
814,218,3
38,70,5
618,1468,3
561,542,1
716,211,5
232,270,3
524,118,4
868,80,2
267,229,4
864,121,4
303,230,3
145,55,3
788,649,3
720,311,5
539,155,4
881,53,2
591,357,5
773,408,5
922,660,3
120,827,2
218,603,4
450,301,4
114,522,5
151,1070,4
833,182,5
308,7,4
806,195,3
637,717,3
312,191,5
299,249,3
336,125,3
234,502,4
148,495,4
198,222,3
620,419,2
932,1139,2
642,91,4
347,147,4
933,73,4
6,173,5
31,306,3
688,332,5
889,1074,3
487,1016,5
933,515,3
86,881,2
30,259,4
6,535,2
455,234,4
151,136,4
619,118,5
655,509,3
413,289,4
476,204,4
629,195,4
363,678,1
309,879,4
307,1,5
100,1238,2
542,63,3
159,1221,5
710,179,4
344,408,5
514,748,2
207,515,5
767,170,5
504,300,4
224,658,1
248,186,5
574,300,4
161,186,4
643,70,3
254,1050,3
704,514,4
426,524,4
549,288,4
896,744,3
230,209,1
619,333,2
18,482,5
705,546,3
453,234,3
425,258,2
207,241,3
327,209,4
10,221,4
650,204,4
13,279,5
897,143,5
655,660,2
429,1119,3
699,106,3
704,318,5
911,969,5
864,672,2
336,577,1
854,461,3
328,692,4
102,665,1
112,891,3
394,88,3
843,473,2
256,662,2
336,288,3
919,11,4
605,137,5
665,931,3
774,201,2
633,423,4
626,748,2
479,187,4
669,879,2
68,713,2
828,923,3
279,753,2
882,746,4
648,186,5
805,959,2
883,273,4
886,214,3
218,194,3
670,611,5
740,328,3
268,169,5
293,291,2
93,845,4
608,8,2
357,826,3
